#1,Sample-ID,Project,Drug Project
1,18465-A,ONC-2020-040,GV009
2,18468-A,ONC-2020-040,GV009
3,18474-A,ONC-2020-040,GV009
4,18476-A,ONC-2020-040,GV009
5,18477-A,ONC-2020-040,GV009
6,18487-A,ONC-2020-040,GV009
7,18499-A,ONC-2020-040,GV009
8,18552-A,ONC-2020-040,GV009
9,18563-A,ONC-2020-040,GV009
10,18568-A,ONC-2020-040,GV009
11,18582-A,ONC-2020-040,GV009
12,18590-A,ONC-2020-040,GV009
13,18604-A,ONC-2020-040,GV009
14,18623-A,ONC-2020-040,GV009
15,18627-A,ONC-2020-040,GV009
16,18456-A,ONC-2020-040,GV009
17,18459-A,ONC-2020-040,GV009
18,18460-A,ONC-2020-040,GV009
19,18470-A,ONC-2020-040,GV009
20,18472-A,ONC-2020-040,GV009
21,18495-A,ONC-2020-040,GV009
22,18497-A,ONC-2020-040,GV009
23,18527-A,ONC-2020-040,GV009
24,18534-A,ONC-2020-040,GV009
25,18538-A,ONC-2020-040,GV009
26,18545-A,ONC-2020-040,GV009
27,18570-A,ONC-2020-040,GV009
28,18594-A,ONC-2020-040,GV009
29,18616-A,ONC-2020-040,GV009
30,18640-A,ONC-2020-040,GV009
31,18481-A,ONC-2020-040,GV009
32,18482-A,ONC-2020-040,GV009
33,18494-A,ONC-2020-040,GV009
34,18498-A,ONC-2020-040,GV009
35,18522-A,ONC-2020-040,GV009
36,18532-A,ONC-2020-040,GV009
37,18583-A,ONC-2020-040,GV009
38,18596-A,ONC-2020-040,GV009
39,18599-A,ONC-2020-040,GV009
40,18602-A,ONC-2020-040,GV009
41,18631-A,ONC-2020-040,GV009
42,18633-A,ONC-2020-040,GV009
43,18649-A,ONC-2020-040,GV009
44,18652-A,ONC-2020-040,GV009
45,18469-A,ONC-2020-040,GV009
46,18480-A,ONC-2020-040,GV009
47,18488-A,ONC-2020-040,GV009
48,18506-A,ONC-2020-040,GV009
49,18507-A,ONC-2020-040,GV009
50,18513-A,ONC-2020-040,GV009
51,18546-A,ONC-2020-040,GV009
52,18548-A,ONC-2020-040,GV009
53,18556-A,ONC-2020-040,GV009
54,18564-A,ONC-2020-040,GV009
55,18595-A,ONC-2020-040,GV009
56,18636-A,ONC-2020-040,GV009
57,18646-A,ONC-2020-040,GV009
58,18658-A,ONC-2020-040,GV009
59,18660-A,ONC-2020-040,GV009
60,18490-A,ONC-2020-040,GV009
61,18491-A,ONC-2020-040,GV009
62,18503-A,ONC-2020-040,GV009
63,18511-A,ONC-2020-040,GV009
64,18536-A,ONC-2020-040,GV009
65,18541-A,ONC-2020-040,GV009
66,18557-A,ONC-2020-040,GV009
67,18558-A,ONC-2020-040,GV009
68,18597-A,ONC-2020-040,GV009
69,18603-A,ONC-2020-040,GV009
70,18614-A,ONC-2020-040,GV009
71,18618-A,ONC-2020-040,GV009
72,18632-A,ONC-2020-040,GV009
73,18656-A,ONC-2020-040,GV009
74,18659-A,ONC-2020-040,GV009
75,18465-B,ONC-2020-040,GV009
76,18468-B,ONC-2020-040,GV009
77,18474-B,ONC-2020-040,GV009
78,18476-B,ONC-2020-040,GV009
79,18477-B,ONC-2020-040,GV009
80,18487-B,ONC-2020-040,GV009
81,18499-B,ONC-2020-040,GV009
82,18552-B,ONC-2020-040,GV009
83,18568-B,ONC-2020-040,GV009
84,18582-B,ONC-2020-040,GV009
85,18590-B,ONC-2020-040,GV009
86,18604-B,ONC-2020-040,GV009
87,18623-B,ONC-2020-040,GV009
88,18627-B,ONC-2020-040,GV009
89,18456-B,ONC-2020-040,GV009
90,18460-B,ONC-2020-040,GV009
91,18470-B,ONC-2020-040,GV009
92,18472-B,ONC-2020-040,GV009
93,18495-B,ONC-2020-040,GV009
94,18497-B,ONC-2020-040,GV009
95,18527-B,ONC-2020-040,GV009
96,18534-B,ONC-2020-040,GV009
97,18538-B,ONC-2020-040,GV009
98,18545-B,ONC-2020-040,GV009
99,18570-B,ONC-2020-040,GV009
100,18594-B,ONC-2020-040,GV009
101,18616-B,ONC-2020-040,GV009
102,18640-B,ONC-2020-040,GV009
103,18481-B,ONC-2020-040,GV009
104,18482-B,ONC-2020-040,GV009
105,18494-B,ONC-2020-040,GV009
106,18498-B,ONC-2020-040,GV009
107,18522-B,ONC-2020-040,GV009
108,18532-B,ONC-2020-040,GV009
109,18583-B,ONC-2020-040,GV009
110,18596-B,ONC-2020-040,GV009
111,18599-B,ONC-2020-040,GV009
112,18602-B,ONC-2020-040,GV009
113,18631-B,ONC-2020-040,GV009
114,18633-B,ONC-2020-040,GV009
115,18649-B,ONC-2020-040,GV009
116,18652-B,ONC-2020-040,GV009
117,18469-B,ONC-2020-040,GV009
118,18480-B,ONC-2020-040,GV009
119,18488-B,ONC-2020-040,GV009
120,18506-B,ONC-2020-040,GV009
121,18507-B,ONC-2020-040,GV009
122,18513-B,ONC-2020-040,GV009
123,18546-B,ONC-2020-040,GV009
124,18548-B,ONC-2020-040,GV009
125,18556-B,ONC-2020-040,GV009
126,18564-B,ONC-2020-040,GV009
127,18595-B,ONC-2020-040,GV009
128,18636-B,ONC-2020-040,GV009
129,18646-B,ONC-2020-040,GV009
130,18658-B,ONC-2020-040,GV009
131,18660-B,ONC-2020-040,GV009
132,18490-B,ONC-2020-040,GV009
133,18491-B,ONC-2020-040,GV009
134,18503-B,ONC-2020-040,GV009
135,18511-B,ONC-2020-040,GV009
136,18536-B,ONC-2020-040,GV009
137,18541-B,ONC-2020-040,GV009
138,18557-B,ONC-2020-040,GV009
139,18558-B,ONC-2020-040,GV009
140,18597-B,ONC-2020-040,GV009
141,18603-B,ONC-2020-040,GV009
142,18614-B,ONC-2020-040,GV009
143,18618-B,ONC-2020-040,GV009
144,18632-B,ONC-2020-040,GV009
145,18656-B,ONC-2020-040,GV009
146,18659-B,ONC-2020-040,GV009
147,D0709-1-1,TJ-2020-001,
148,D0709-1-2,TJ-2020-001,
149,D0709-1-3,TJ-2020-001,
150,D0709-1-4,TJ-2020-001,
151,D0709-1-5,TJ-2020-001,
152,D0709-2-1,TJ-2020-001,
153,D0709-2-2,TJ-2020-001,
154,D0709-2-3,TJ-2020-001,
155,D0709-2-4,TJ-2020-001,
156,D0709-2-5,TJ-2020-001,
157,D0709-3-1,TJ-2020-001,
158,D0709-3-3,TJ-2020-001,
159,D0709-3-4,TJ-2020-001,
160,D0709-4-3,TJ-2020-001,
161,D0709-4-5,TJ-2020-001,
162,D0709-5-3,TJ-2020-001,
163,D0709-5-4,TJ-2020-001,
164,D0709-5-5,TJ-2020-001,
165,D0709-6-1,TJ-2020-001,
166,D0709-6-2,TJ-2020-001,
167,D0709-6-3,TJ-2020-001,
168,D0709-6-4,TJ-2020-001,
169,D0709-6-5,TJ-2020-001,
170,D0709-7-1,TJ-2020-001,
171,D0709-7-2,TJ-2020-001,
172,D0709-7-3,TJ-2020-001,
173,D0709-7-4,TJ-2020-001,
174,D0709-8-1,TJ-2020-001,
175,D0709-8-4,TJ-2020-001,
176,D0709-8-5,TJ-2020-001,
177,D0709-9-2,TJ-2020-001,
178,D0726-1-1,TJ-2020-001,
179,D0726-1-2,TJ-2020-001,
180,D0726-1-3,TJ-2020-001,
181,D0726-1-4,TJ-2020-001,
182,D0726-1-5,TJ-2020-001,
183,D0726-2-1,TJ-2020-001,
184,D0726-2-2,TJ-2020-001,
185,D0726-2-3,TJ-2020-001,
186,D0726-2-4,TJ-2020-001,
187,D0726-2-5,TJ-2020-001,
188,D0726-3-1,TJ-2020-001,
189,D0726-3-3,TJ-2020-001,
190,D0726-3-4,TJ-2020-001,
191,D0726-4-3,TJ-2020-001,
192,D0726-4-5,TJ-2020-001,
193,D0726-5-3,TJ-2020-001,
194,D0726-5-4,TJ-2020-001,
195,D0726-5-5,TJ-2020-001,
196,D0726-6-1,TJ-2020-001,
197,D0726-6-2,TJ-2020-001,
198,D0726-6-3,TJ-2020-001,
199,D0726-6-4,TJ-2020-001,
200,D0726-6-5,TJ-2020-001,
201,D0726-7-1,TJ-2020-001,
202,D0726-7-2,TJ-2020-001,
203,D0726-7-3,TJ-2020-001,
204,D0726-7-4,TJ-2020-001,
205,D0726-8-1,TJ-2020-001,
206,D0726-8-4,TJ-2020-001,
207,D0726-8-5,TJ-2020-001,
208,D0726-9-2,TJ-2020-001,
209,D0806-1-1,TJ-2020-001,
210,D0806-1-2,TJ-2020-001,
211,D0806-1-3,TJ-2020-001,
212,D0806-1-4,TJ-2020-001,
213,D0806-1-5,TJ-2020-001,
214,D0806-2-1,TJ-2020-001,
215,D0806-2-2,TJ-2020-001,
216,D0806-2-3,TJ-2020-001,
217,D0806-2-4,TJ-2020-001,
218,D0806-2-5,TJ-2020-001,
219,D0806-3-1,TJ-2020-001,
220,D0806-3-3,TJ-2020-001,
221,D0806-3-4,TJ-2020-001,
222,D0806-4-3,TJ-2020-001,
223,D0806-4-5,TJ-2020-001,
224,D0806-5-3,TJ-2020-001,
225,D0806-5-4,TJ-2020-001,
226,D0806-5-5,TJ-2020-001,
227,D0806-6-1,TJ-2020-001,
228,D0806-6-2,TJ-2020-001,
229,D0806-6-3,TJ-2020-001,
230,D0806-6-4,TJ-2020-001,
231,D0806-6-5,TJ-2020-001,
232,D0806-7-3,TJ-2020-001,
233,D0806-7-4,TJ-2020-001,
234,D0806-8-1,TJ-2020-001,
235,D0806-8-5,TJ-2020-001,
236,D0806-9-2,TJ-2020-001,